title,artist,lyricist,composer,arranger,hash
愛のひきこもり,日向坂46,秋元康,山口寛雄,h-wonder,4a302188910b53b365259ff9cbcfd6deb627a7280780970e6f2323fac89a34be
愛はこっちのものだ,日向坂46,秋元康,原田雄一,原田雄一,6d2f3bd3440c24fefaef13d16c873f2353035c58ce4a504da23cd35a48e23b48
あくびLetter,日向坂46,秋元康,角野寿和,角野寿和,bb61f2b6125eed65290b1cd90c493b90aa3e1a5cf5cccce9945010f89800272e
アザトカワイイ,日向坂46,秋元康,浦島健太・NIYA・TETTA,TETTA,6f1a096ed287b19f86c1776efd7d4c865c83019053afca59aa2a6dfa82ebace5
アディショナルタイム,日向坂46,秋元康,RIRIKO・石原剛志,石原剛志・RIRIKO,c71fbe7e82ff6bea372f0c5fd62e9a27dfff48e22be95580e41996c4ca01f14f
Am I ready?,日向坂46,秋元康,大河原昇,APAZZI,454c48b71a4d3bcb195388eeced71ce45734fb87a011d43cacacb72085d4eb1e
居心地悪く、大人になった,齊藤京子(日向坂46),秋元康,嶋田啓介,嶋田啓介,4363535018cc2f4ec990978ef45660a318865fa3285917969c60d6f16ca235fe
一番好きだとみんなに言っていた小説のタイトルを思い出せない,上村ひなの(日向坂46),秋元康,辻村有記・伊藤賢,伊藤賢・辻村有記,4cbc2c4f71b47ce2f403f0412ffe03989cc19b66692ce4691d871affd2d67658
一生一度の夏,日向坂46,秋元康,はたゆりこ・野口大志,野口大志,541174354386df824b8556c672f725ca8d53dbd63bb860f3bb9c504d01447ac6
イマニミテイロ,日向坂46 1期生,秋元康,前迫 潤哉・Yasutaka.Ishio,Yasutaka.Ishio,c69dfe36cd33c4c531a2cd73ba6333e54548b65616fcf5f2ec663351e0e58a2e
おいで夏の境界線,日向坂46 1期生,秋元康,中山聡・足立優,板垣祐介,a14b3a22b796775f2b079e4f1db564d07d8949a93e1a624e17e7722608a7a098
男友達だから,加藤史帆(日向坂46),秋元康,三谷秀甫,三谷秀甫,05e69682108e51e7c1d458f1906555403a35678c43ee0f7924d44a906c454aa0
思いがけないダブルレインボー,日向坂46,秋元康,藤田卓也,APAZZI,4b9cffe20c82f9b6f0c47612b3a4046b2009ddb5bfabdd5e0ab07981d13a6001
川は流れる,日向坂46,秋元康,中野領太,中野領太,157c5367848ee190138a4d5f654309a1a4f019cdd0ae5482bf35c609207f50ce
ガラス窓が汚れてる,日向坂46,秋元康,杉山勝彦,杉山勝彦,b426e0ea31a434a150270b56508870ed8f2fbd58950f039d8e1e46277ca8ae9a
期待していない自分,日向坂46,秋元康,Kyota.,,18f9717261c305c8fa3834ca7d4a5fad643dfe4ac87f4c595ce09006922221aa
キツネ,日向坂46,秋元康,原田雄一,原田雄一,6cf38b100a05b91580da112434b511b5954a52d58009dce411c238930709cd55
君しか勝たん,日向坂46,秋元康,デレク・ターナー,APAZZI,2ff6cae592176809b12424d423f46e25e985e82c0a08802b64956d4274970ee2
君に話しておきたいこと,日向坂46,秋元康,立川俊之,立川俊之,1bdb177bccb3d0460fc46f7942b63ced2579c8f97f3ff7d195c59478e19c97a0
君のため何ができるだろう,日向坂46,秋元康,田靡達也・中山聡,田靡達也・中山聡,7084db1fd31c133c26c9159af488fbee2c5541a9fd0c4685c93fb88b488b843e
君は逆立ちできるか？,日向坂46,秋元康,松原憲,曽木琢磨,3551e41ce7e7a582a6e9ca5d7be1f9b04cb3e96d3fb78a3ba59a645f15c7c8ec
キュン,日向坂46,秋元康,野村陽一郎,野村陽一郎,3f5e0b45d1aa55b865e1765c6dde41e09ea506d5c1dfe589199d700a9a77a3a8
キレイになりたい,日向坂46,秋元康,石井健太郎,石井健太郎,bc2e0f4ff16840cd38880c2162f7547b4f321d3d0b92a1e865d69b9a4186825a
Cage,日向坂46,秋元康,水流雄一朗,水流雄一朗,1d33f5c0f795a34756ca8c0f2502ee1f49269d26d56834d8885125df9ee61dae
恋した魚は空を飛ぶ,日向坂46,秋元康,野村陽一郎,野村陽一郎,673a794091bc5cb8eee05ca77d4de455cdf65178a90e5ba47f2bb4679a60d053
恋は逃げ足が早い,日向坂46,秋元康,野村陽一郎,野村陽一郎,512b34772e6576d31709b58e1e991df30a9b8a0d754bfc7588586f5b7de24793
声の足跡,日向坂46,秋元康,A-NOTE・S-TONE,A-NOTE・S-TONE,08dfab9bcc583664f6c5ba1a58460934f5c1f4b7f22ae2e549bf647b43c4c9e9
孤独な瞬間,齊藤京子(日向坂46),秋元康,伊藤心太郎,APAZZI,5dd9ca8ccab72249616cc1e035d4dc5de1b50951eedd62638fe18c7848bf0db4
この夏をジャムにしよう,日向坂46,秋元康,pakorama,pakorama,41680c3e18beabae9cae59a8ba6cd869131d855aeb33ce761dff825e416f0ada
こんな整列を誰がさせるのか？,日向坂46 1期生,秋元康,春行,APAZZI,8d5f9fd296c44a4a7953771ecd21e657174a8f78e732cec2dd0665d7f6db4de0
こんなに好きになっちゃっていいの？,日向坂46,秋元康,前迫潤哉・7th Avenue,7th Avenue,f50b5e888ef54ebd2636fdd884d9a0008f2b1639f87c9412400447dc70cfb81c
ゴーフルと君,日向坂46,秋元康,辻村有記・伊藤賢,伊藤賢・辻村有記,a8a4adc2de3870cd4a0ff8ffc04cf63078e4c577cfa5b7549a3a3de0a4ebaea7
最前列へ,日向坂46 2期生,秋元康,IKEZO,若田部誠,806c9b0d3083f645618e8ef27a122a9ff1f6047206d82281597debe52bdcabac
三輪車に乗りたい,日向坂46,秋元康,Kaz Kuwamura(CWF)・カトウリョータ(CWF)・小木岳司(CWF),小木岳司・カトウリョータ・Kaz Kuwamura,e91cb1d454e35447e0eda711e465d3f2aae49853ed8a4f40e5d6036c74de0256
車輪が軋むように君が泣く,日向坂46,秋元康,若田部誠,若田部誠,2c072e08222281cb551ca9d75402e2869fd96a129b26667b4a0ab4d3e7c59221
知らないうちに愛されていた,日向坂46,秋元康,BASEMINT,BASEMINT,e269af499a85d552a548eac27637bc2ec0b2993d546aab17a632183e3ec498d8
See Through,日向坂46,秋元康,佐々木裕,佐々木裕,47c14dc389e42cbf6b69de4de6da96e2eb222455d6edab866bf2e4e6da268e9c
シーラカンス,日向坂46,秋元康,barbora・TomoLow,TomoLow,81bfb780ecbca95a8d49e2ad3c3cb6f2780d44cdf9fbd4f72bfa914648e9d769
10秒天使,日向坂46,秋元康,YSU,APAZZI,08285ed122616edd2023b3484f94530c4031de16c1decef4e0383001dc78eb35
JOYFUL LOVE,日向坂46,秋元康,前迫潤哉・Dr. Lilcom,Dr.Lilcom,a7293058190df8ae94023760ff176d1ab3292c82bb93889dd6a3129355da28af
好きということは…,日向坂46,秋元康,youth case,加部輝・城戸紘志・youth case,d04ee61ce4efe7e964630ef3b002a16ab99647b6302f3e3694bf63c1f97212be
酸っぱい自己嫌悪,日向坂46,秋元康,丸山真由子,丸山真由子,51b62ab5630b1c9191ca4d160a61d955dfcf75d9f967277a8d49ea73e7caa9fb
青春の馬,日向坂46,秋元康,近藤圭一,近藤圭一,2aab468b986137f01bd04ce2c035a8511718f11070fe23384e2a3678e495adca
世界にはThank you！が溢れている,日向坂46,秋元康,野村陽一郎,野村陽一郎,d8787454d03261821aa568ac64c191833ec05f06a04912868bc73525b776ef02
接触と感情,日向坂46,秋元康,白須賀悟,白須賀悟,4af0f603ad9f438478b2c6b55b9d7030b6df52610e07f652485c6bf591956bc4
線香花火が消えるまで,日向坂46,秋元康,山本加津彦,山本加津彦,0e164a52ae8f3d95d026ef8526c3979c394f82ee79349c48eab2fc7a53fbe8bb
その他大勢タイプ,日向坂46,秋元康,じょーてつし,TSUKASA,6a3a90bbd3e7dd0c9bef09575a05710687f524c2fb3b9ad3767920bf3bded9b6
それでも歩いてる,日向坂46,秋元康,さいとうくにあき,さいとうくにあき,0fff4b79d6704a69fcfda9d6b3b7cf798509be987fb3803ba970678026692b7a
ソンナコトナイヨ,日向坂46,秋元康,柳沢英樹,柳沢英樹,2e1b19d4840a4bdaac1d04d42482ba544446ae6c20440d15b7342a2be667ccf3
ただがむしゃらに,日向坂46,秋元康,古城康行,古城康行,fe36b6fe651985003e9d3c7398f852c182e9de35eb72ab9d7b2236898eb7ef67
抱きしめてやる,日向坂46,秋元康,バグベア,若田部誠,5c1fcae9d5b6061ac8fdf1b735600bfd0c3d63a80b1056fc649cc519674771b5
Dash&Rush,日向坂46,秋元康,小田切大,佐々木裕,17d134eb60d3b6022a5e1d38928392b86a55fc7cf2725c541c76adf0793a2da2
誰よりも高く跳べ!,日向坂46,秋元康,カミカオル・doubleglass,"野中""まさ""雄一",c57e72849329eb1fbbf163bfdf7080db47b33c251921d447ff15586007474c7d
沈黙が愛なら,日向坂46,秋元康,サトウシンゴ,長田直也・サトウシンゴ,5b64b9642438260e5b91215048c139e8de8a555cacd137396ed670ce340000de
沈黙した恋人よ,りまちゃんちっく(日向坂46),秋元康,杉山勝彦,杉山勝彦・三谷秀甫・谷地学,f676f3fb330df786dcfede353e9abb67014c3ba705e045595d523a9f307dc182
ってか,日向坂46,秋元康,浦島健太・加藤優希,加藤優希,06de596bd3d8f17859a70ff7da404349cc023e23bd15e4a00fd1920b368e7460
月と星が踊るMidnight,日向坂46,秋元康,Masafumi Okamoto,TomoLow,8f2292ccd3ce4f8ab33a5e69e683768bf4e739838fe7a0f46f119feb1525c9ae
ときめき草,日向坂46,秋元康,御子柴リョーマ,御子柴リョーマ,a1875d91d87ac3e1572d4240f39321b24c79b36aed42afdc06e7c5ff5f6aa213
友よ 一番星だ,日向坂46,秋元康,中村泰輔・TomoLow,中村泰輔・TomoLow,a2129b7a8d2a2d24f7be7e175cfdbcb18902cf2a8df7825ca499385b4a45e37c
どうして雨だと言ったんだろう？,日向坂46,秋元康,杉山勝彦,有木竜郎・石原剛志・杉山勝彦,1386ecc6e783ae8b8abc9c6725c4a83f50f67f0671b998ae58725caed083ec26
どうする？どうする？どうする？,日向坂46,秋元康,CHOCOLATE MIX,CHOCOLATE MIX,60823592a82b8432236361e9760694b84fb6a9d58eafbc90f088728614e9b220
ドレミソラシド,日向坂46,秋元康,野村陽一郎,野村陽一郎,4a72c4512c8cb21a9c9d5d75a1b5348179e64eda8ddf1af1eac196e165c479cf
嘆きのDelete,加藤史帆(日向坂46),秋元康,mixakissa,"野中""まさ""雄一",cea7f6567ef7fbf52b0c71dbc0a2c09c5781dbfda36411d940aa0c585f279a57
ナゼー,日向坂46,秋元康,小山雅弘,小山雅弘,0873d1526c9c73d7dda24cc897f9eeb468404889937588fd688fc20a81378e7f
夏色のミュール,日向坂46,秋元康,井上トモノリ,久下真音,115a22698df3b53bc5162008a49380ac5c7d5ad3858ee4783ab91236293719b8
何度でも何度でも,日向坂46,秋元康,後藤康二(ck510),後藤康二,2cc6cfe99e287e5f7121412d64d1fedfead5cfbbf4fa343926daccbc16e60169
ノックをするな！,日向坂46,秋元康,APAZZI,APAZZI,191b5ea2ded7ac3b8b0777803b76329c4bcfbc1674324b0bf4f44d7875ddf9ca
NO WAR in the future,日向坂46,秋元康,ツキダタダシ,ツキダタダシ,e3149ba05d80619b44e85ea9c313542adee2e6c7852d7808f0651d87444807af
ハッピーオーラ,日向坂46,秋元康,池澤聡,池澤聡,23c8953b5a75a0fefd343ca00a2f705c1d4440c212b9aa1820007a2e15d574b0
パクチー ピーマン グリーンピース,日向坂46,秋元康,Masafumi Okamoto,シライシ紗トリ,7b6a1b98f0738112a2eb0c72784336b3c3725d005d627506bbe446f388a6ddcf
ハロウィンのカボチャが割れた,りまちゃんちっく(日向坂46),秋元康,サトウシンゴ,佐々木裕,e52883dc8d5fbbef130866e72c730d4daed675351b2d30342da378a45e307d54
半分の記憶,日向坂46 2期生,秋元康,吉田司・村山シベリウス達彦,若田部誠,1a1c33e2add5e2db7de7cb363f559980a8f04622e328cb5576bf74a37f75ba48
飛行機雲ができる理由,日向坂46,秋元康,小網準,若田部誠,539472bc538b69fc027ada25b0c675e944ad06c72ec02abed9090133451adb87
日向坂,日向坂46,秋元康,新屋豊,新屋豊,036e292c7cd385c63914349fd29e871e852b8edde72e31a613a324e3a63fe4ad
ひらがなけやき,日向坂46,秋元康,川浦正大,"野中""まさ""雄一",4c4f4988d09409261936dba3573c5eb7759e470e3821e9b0f674de777ef47ccf
